model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,140,140,140,0,0,279,279,140,140,139,139,10,10,30393,30393,549453,549453,103339,103339,446114,446114
2,base,62888,12,62888,12,0,0,125775,23,62888,12,62887,11,59,7,1.28276e+07,1.54715e+07,5.38418e+08,1.58596e+08,8.40674e+07,5.4199e+07,4.54351e+08,1.04397e+08
3,base,16976,12,16976,12,0,0,33951,23,16976,12,16975,11,23,7,1.12576e+06,1.45785e+06,2.93264e+07,1.31528e+07,4.23103e+06,3.88824e+06,2.50953e+07,9.26451e+06
4,base,65624,12,65624,12,0,0,131247,23,65624,12,65623,11,27,7,1.71203e+07,2.26052e+07,5.49196e+08,2.15285e+08,7.84725e+07,6.7853e+07,4.70724e+08,1.47432e+08
5,base,73136,12,73136,12,0,0,146271,23,73136,12,73135,11,28,7,8.4866e+06,1.1574e+07,2.87413e+08,1.12775e+08,4.12027e+07,3.63798e+07,2.4621e+08,7.63954e+07
6,base,1050,1050,1050,1050,0,0,2099,2099,1050,1050,1049,1049,15,15,107009,107009,1.45685e+06,1.45685e+06,203371,203371,1.25348e+06,1.25348e+06
7,base,140,140,140,140,0,0,279,279,140,140,139,139,13,13,97.0945,97.0945,3237.32,3237.32,381.114,381.114,2856.21,2856.21
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37621.3,370973,370973,122161,122161,248812,248812
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5379.71,46844.1,46844.1,14250,14250,32594.1,32594.1
10,base,200,200,200,200,0,0,399,399,200,200,199,199,12,12,11181.3,11181.3,131034,131034,22546.7,22546.7,108487,108487
11,base,288,288,288,288,0,0,575,575,288,288,287,287,11,11,4643.98,4643.98,57345.8,57345.8,8078.37,8078.37,49267.4,49267.4
12,base,11402,12,11402,12,0,0,22803,23,11402,12,11401,11,23,6,71642.7,117712,1.92251e+06,1.16275e+06,203422,327695,1.71909e+06,835054
13,base,45805,12,45805,12,0,0,91609,23,45805,12,45804,11,24,7,355449,462546,1.16183e+07,4.49712e+06,1.26363e+06,1.44782e+06,1.03547e+07,3.0493e+06
14,base,50084,12,50084,12,0,0,100167,23,50084,12,50083,11,30,6,294750,571162,1.29673e+07,6.20428e+06,1.28407e+06,1.69044e+06,1.16832e+07,4.51384e+06
15,base,25558,12,25558,12,0,0,51115,23,25558,12,25557,11,27,7,382530,599327,1.19533e+07,5.8567e+06,1.29086e+06,1.89742e+06,1.06624e+07,3.95928e+06
16,base,164597,12,164597,12,0,0,329193,23,164597,12,164596,11,31,6,546711,1.16223e+06,2.71925e+07,1.23856e+07,2.36627e+06,3.11399e+06,2.48263e+07,9.27157e+06
17,base,24940,12,24940,12,0,0,49879,23,24940,12,24939,11,27,7,8.61062e+06,1.06094e+07,2.23783e+08,1.00384e+08,3.55625e+07,3.17779e+07,1.88221e+08,6.86062e+07
18,base,46080,12,46080,12,0,0,92159,23,46080,12,46079,11,26,5,5.94981e+06,8.14999e+06,1.8592e+08,8.67012e+07,2.86311e+07,2.53949e+07,1.57289e+08,6.13063e+07
19,base,26488,12,26488,12,0,0,52975,23,26488,12,26487,11,26,5,2.60229e+06,3.56402e+06,7.64053e+07,3.23495e+07,1.01145e+07,1.07733e+07,6.62908e+07,2.15762e+07
20,base,11763,12,11763,12,0,0,23525,23,11763,12,11762,11,21,7,443646,597804,1.31137e+07,5.78781e+06,1.38402e+06,1.85929e+06,1.17297e+07,3.92852e+06
21,base,2,2,2048,128,682,42,4095,255,2048,128,2047,127,14,8,1.31326e+12,1.31326e+12,1.38176e+13,9.6273e+12,2e+12,2e+12,1.18176e+13,7.6273e+12
22,base,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
23,base,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
24,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
26,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
27,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.8,62839.8,2.16312e+06,2.16312e+06,249368,249368,1.91376e+06,1.91376e+06
28,workpiece,2,2,2048,128,682,42,4095,255,2048,128,2047,127,14,8,1.31326e+12,1.31326e+12,1.38176e+13,9.6273e+12,2e+12,2e+12,1.18176e+13,7.6273e+12
