model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,28,140,28,0,0,279,55,140,28,139,27,10,8,30393,35349,549453,480937,103339,114283,446114,366654
2,base,62888,52,62888,52,0,0,125775,103,62888,52,62887,51,59,9,1.28276e+07,1.29601e+07,5.38418e+08,1.59194e+08,8.40674e+07,4.62678e+07,4.54351e+08,1.12926e+08
3,base,16976,36,16976,36,0,0,33951,71,16976,36,16975,35,23,8,1.12576e+06,1.13479e+06,2.93264e+07,1.35934e+07,4.23103e+06,2.94204e+06,2.50953e+07,1.06514e+07
4,base,65624,64,65624,64,0,0,131247,127,65624,64,65623,63,27,10,1.71203e+07,1.827e+07,5.49196e+08,1.62249e+08,7.84725e+07,3.92284e+07,4.70724e+08,1.2302e+08
5,base,73136,58,73136,58,0,0,146271,115,73136,58,73135,57,28,10,8.4866e+06,9.13718e+06,2.87413e+08,9.7514e+07,4.12027e+07,2.24565e+07,2.4621e+08,7.50575e+07
6,base,1050,60,1050,60,0,0,2099,119,1050,60,1049,59,15,9,107009,139730,1.45685e+06,1.19963e+06,203371,292933,1.25348e+06,906697
7,base,140,28,140,28,0,0,279,55,140,28,139,27,13,9,97.0945,152.678,3237.32,2490.87,381.114,582.76,2856.21,1908.11
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37621.3,370973,370973,122161,122161,248812,248812
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5379.71,46844.1,46844.1,14250,14250,32594.1,32594.1
10,base,200,56,200,56,0,0,399,111,200,56,199,55,12,9,11181.3,12201.3,131034,116405,22546.7,25985.6,108487,90419.8
11,base,288,60,288,60,0,0,575,119,288,60,287,59,11,9,4643.98,5269.26,57345.8,70464.3,8078.37,16124,49267.4,54340.3
12,base,11402,60,11402,60,0,0,22803,119,11402,60,11401,59,23,10,71642.7,80196.3,1.92251e+06,1.37619e+06,203422,309400,1.71909e+06,1.06679e+06
13,base,45805,64,45805,64,0,0,91609,127,45805,64,45804,63,24,9,355449,534057,1.16183e+07,7.35438e+06,1.26363e+06,1.71252e+06,1.03547e+07,5.64187e+06
14,base,50084,56,50084,56,0,0,100167,111,50084,56,50083,55,30,9,294750,470312,1.29673e+07,9.15586e+06,1.28407e+06,1.8064e+06,1.16832e+07,7.34947e+06
15,base,25558,60,25558,60,0,0,51115,119,25558,60,25557,59,27,9,382530,566304,1.19533e+07,7.63458e+06,1.29086e+06,1.739e+06,1.06624e+07,5.89558e+06
16,base,164597,56,164597,56,0,0,329193,111,164597,56,164596,55,31,9,546711,922630,2.71925e+07,1.58427e+07,2.36627e+06,2.90823e+06,2.48263e+07,1.29345e+07
17,base,24940,56,24940,56,0,0,49879,111,24940,56,24939,55,27,10,8.61062e+06,9.40935e+06,2.23783e+08,9.90575e+07,3.55625e+07,2.39274e+07,1.88221e+08,7.51301e+07
18,base,46080,64,46080,64,0,0,92159,127,46080,64,46079,63,26,10,5.94981e+06,7.08199e+06,1.8592e+08,8.00235e+07,2.86311e+07,2.01192e+07,1.57289e+08,5.99043e+07
19,base,26488,56,26488,56,0,0,52975,111,26488,56,26487,55,26,9,2.60229e+06,2.77506e+06,7.64053e+07,4.79086e+07,1.01145e+07,1.04845e+07,6.62908e+07,3.74241e+07
20,base,11763,20,11763,20,0,0,23525,39,11763,20,11762,19,21,7,443646,564112,1.31137e+07,6.74555e+06,1.38402e+06,1.72518e+06,1.17297e+07,5.02037e+06
21,base,2,2,2048,128,682,42,4095,255,2048,128,2047,127,14,8,1.31326e+12,1.31326e+12,1.38176e+13,9.6273e+12,2e+12,2e+12,1.18176e+13,7.6273e+12
22,base,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
23,base,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
24,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
26,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
27,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.8,62839.8,2.16312e+06,2.16312e+06,249368,249368,1.91376e+06,1.91376e+06
28,workpiece,2,2,2048,128,682,42,4095,255,2048,128,2047,127,14,8,1.31326e+12,1.31326e+12,1.38176e+13,9.6273e+12,2e+12,2e+12,1.18176e+13,7.6273e+12
29,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
30,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
31,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,84392.4,84392.4,417640,417640,164717,164717,252922,252922
32,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
33,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.2,62839.2,2.16336e+06,2.16336e+06,249360,249360,1.914e+06,1.914e+06
34,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
35,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62842.2,62842.2,2.16374e+06,2.16374e+06,249359,249359,1.91438e+06,1.91438e+06
36,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
37,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
