model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,140,140,140,0,0,279,279,140,140,139,139,10,10,30393,30393,549453,549453,103339,103339,446114,446114
2,base,62888,2838,62888,2838,0,0,125775,5675,62888,2838,62887,2837,59,16,1.28276e+07,1.28751e+07,5.38418e+08,3.06376e+08,8.40674e+07,3.69121e+07,4.54351e+08,2.69464e+08
3,base,16976,4946,16976,4946,0,0,33951,9891,16976,4946,16975,4945,23,19,1.12576e+06,1.11701e+06,2.93264e+07,3.04988e+07,4.23103e+06,3.6801e+06,2.50953e+07,2.68187e+07
4,base,65624,4354,65624,4354,0,0,131247,8707,65624,4354,65623,4353,27,17,1.71203e+07,1.72644e+07,5.49196e+08,3.81722e+08,7.84725e+07,4.92126e+07,4.70724e+08,3.32509e+08
5,base,73136,4696,73136,4696,0,0,146271,9391,73136,4696,73135,4695,28,17,8.4866e+06,8.49931e+06,2.87413e+08,2.28852e+08,4.12027e+07,2.93021e+07,2.4621e+08,1.9955e+08
6,base,1050,1050,1050,1050,0,0,2099,2099,1050,1050,1049,1049,15,15,107009,107009,1.45685e+06,1.45685e+06,203371,203371,1.25348e+06,1.25348e+06
7,base,140,140,140,140,0,0,279,279,140,140,139,139,13,13,97.0945,97.0945,3237.32,3237.32,381.114,381.114,2856.21,2856.21
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37621.3,370973,370973,122161,122161,248812,248812
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5379.71,46844.1,46844.1,14250,14250,32594.1,32594.1
10,base,200,200,200,200,0,0,399,399,200,200,199,199,12,12,11181.3,11181.3,131034,131034,22546.7,22546.7,108487,108487
11,base,288,288,288,288,0,0,575,575,288,288,287,287,11,11,4643.98,4643.98,57345.8,57345.8,8078.37,8078.37,49267.4,49267.4
