model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,60,140,60,0,0,279,119,140,60,139,59,10,10,30393,49489.8,549453,1.27483e+06,103339,345202,446114,929632
2,base,62888,60,62888,60,0,0,125775,119,62888,60,62887,59,59,11,1.28276e+07,1.54275e+07,5.38418e+08,3.16705e+08,8.40674e+07,9.82094e+07,4.54351e+08,2.18496e+08
3,base,16976,60,16976,60,0,0,33951,119,16976,60,16975,59,23,13,1.12576e+06,1.49076e+06,2.93264e+07,3.34381e+07,4.23103e+06,7.8133e+06,2.50953e+07,2.56248e+07
4,base,65624,60,65624,60,0,0,131247,119,65624,60,65623,59,27,11,1.71203e+07,2.36364e+07,5.49196e+08,3.74812e+08,7.84725e+07,9.61039e+07,4.70724e+08,2.78708e+08
5,base,73136,60,73136,60,0,0,146271,119,73136,60,73135,59,28,12,8.4866e+06,9.63013e+06,2.87413e+08,1.85361e+08,4.12027e+07,4.88296e+07,2.4621e+08,1.36531e+08
6,base,1050,60,1050,60,0,0,2099,119,1050,60,1049,59,15,9,107009,155049,1.45685e+06,1.83912e+06,203371,462015,1.25348e+06,1.3771e+06
7,base,140,60,140,60,0,0,279,119,140,60,139,59,13,10,97.0945,222.313,3237.32,5251.24,381.114,1611.78,2856.21,3639.46
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37778.3,370973,373988,122161,123386,248812,250602
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5016.08,46844.1,46612,14250,14392.8,32594.1,32219.1
10,base,200,60,200,60,0,0,399,119,200,60,199,59,12,10,11181.3,15220.7,131034,214340,22546.7,59597.4,108487,154742
11,base,288,60,288,60,0,0,575,119,288,60,287,59,11,9,4643.98,5269.26,57345.8,70464.3,8078.37,16124,49267.4,54340.3
12,base,11402,60,11402,60,0,0,22803,119,11402,60,11401,59,23,10,71642.7,105469,1.92251e+06,2.46478e+06,203422,533961,1.71909e+06,1.93082e+06
13,base,45805,60,45805,60,0,0,91609,119,45805,60,45804,59,24,11,355449,560160,1.16183e+07,8.45243e+06,1.26363e+06,2.1433e+06,1.03547e+07,6.30913e+06
14,base,50084,60,50084,60,0,0,100167,119,50084,60,50083,59,30,9,294750,594088,1.29673e+07,1.37357e+07,1.28407e+06,3.11156e+06,1.16832e+07,1.06241e+07
15,base,25558,60,25558,60,0,0,51115,119,25558,60,25557,59,27,9,382530,608602,1.19533e+07,9.77706e+06,1.29086e+06,2.3434e+06,1.06624e+07,7.43366e+06
16,base,164597,60,164597,60,0,0,329193,119,164597,60,164596,59,31,9,546711,982350,2.71925e+07,2.4829e+07,2.36627e+06,5.10856e+06,2.48263e+07,1.97204e+07
17,base,24940,60,24940,60,0,0,49879,119,24940,60,24939,59,27,9,8.61062e+06,1.04541e+07,2.23783e+08,1.78366e+08,3.55625e+07,4.09748e+07,1.88221e+08,1.37391e+08
18,base,46080,60,46080,60,0,0,92159,119,46080,60,46079,59,26,12,5.94981e+06,7.18391e+06,1.8592e+08,9.40976e+07,2.86311e+07,2.37622e+07,1.57289e+08,7.03354e+07
19,base,26488,60,26488,60,0,0,52975,119,26488,60,26487,59,26,11,2.60229e+06,2.87666e+06,7.64053e+07,6.45057e+07,1.01145e+07,1.62664e+07,6.62908e+07,4.82393e+07
20,base,11763,60,11763,60,0,0,23525,119,11763,60,11762,59,21,11,443646,895127,1.31137e+07,2.07869e+07,1.38402e+06,4.51662e+06,1.17297e+07,1.62703e+07
21,base,2,12,2048,264,682,84,4095,527,2048,264,2047,263,14,11,1.31326e+12,2.7357e+12,1.38176e+13,4.3573e+13,2e+12,8.3224e+12,1.18176e+13,3.52506e+13
22,base,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,105797,523470,528163,209208,211305,314263,316857
23,base,1,12,1,12,0,0,1,23,1,12,0,11,1,7,586.489,9052.41,586.489,108841,586.489,30336.4,0,78504.7
24,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
26,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
27,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.8,62839.8,2.16312e+06,2.16312e+06,249368,249368,1.91376e+06,1.91376e+06
