model_id_1,model_id_2,queries,original_bv_tests,proxy_bv_tests,original_tri_tests,proxy_tri_tests,original_positives,proxy_positives,tp,tn,fp,fn
1,2,4640,0,0,0,0,0,0,0,4640,0,0
1,3,4640,0,0,0,0,0,0,0,4640,0,0
1,4,4640,0,0,0,0,0,0,0,4640,0,0
1,5,4640,0,0,0,0,0,0,0,4640,0,0
1,14,4206,0,0,0,0,0,0,0,4206,0,0
1,15,4206,0,0,0,0,0,0,0,4206,0,0
1,16,4206,0,0,0,0,0,0,0,4206,0,0
1,17,4640,0,0,0,0,0,0,0,4640,0,0
1,18,4640,0,6,0,0,0,0,0,4640,0,0
1,19,28517,109572,120976,6123,9316,1843,2546,1843,25971,703,0
1,20,4206,0,0,0,0,0,0,0,4206,0,0
1,21,4206,0,251008,0,0,0,0,0,4206,0,0
1,26,25242,15106,20312,0,0,0,0,0,25242,0,0
1,37,3256,30,90,0,0,0,0,0,3256,0,0
3,17,4206,0,0,0,0,0,0,0,4206,0,0
4,17,4206,0,0,0,0,0,0,0,4206,0,0
5,17,4206,0,0,0,0,0,0,0,4206,0,0
6,2,4640,0,0,0,0,0,0,0,4640,0,0
6,3,4640,0,0,0,0,0,0,0,4640,0,0
6,4,4640,0,0,0,0,0,0,0,4640,0,0
6,5,4640,0,0,0,0,0,0,0,4640,0,0
6,13,4206,11170,199218,0,4323,0,587,0,3619,587,0
6,14,4206,0,0,0,0,0,0,0,4206,0,0
6,15,4206,0,0,0,0,0,0,0,4206,0,0
6,16,4206,0,0,0,0,0,0,0,4206,0,0
6,17,4633,0,988,0,0,0,0,0,4633,0,0
6,18,4633,602,13632,0,196,0,3,0,4630,3,0
6,19,13038,1274,3118,78,273,21,28,21,13010,7,0
6,20,4206,0,0,0,0,0,0,0,4206,0,0
6,21,4206,0,252314,0,0,0,0,0,4206,0,0
6,26,23406,1910696,1242530,112963,72075,13684,22269,13684,1137,8585,0
6,37,3256,155988,148830,8517,7855,300,1373,300,1883,1073,0
7,2,4169,0,0,0,0,0,0,0,4169,0,0
7,3,4169,0,0,0,0,0,0,0,4169,0,0
7,4,4169,0,0,0,0,0,0,0,4169,0,0
7,5,4169,0,0,0,0,0,0,0,4169,0,0
7,13,3759,0,0,0,0,0,0,0,3759,0,0
7,14,3759,0,0,0,0,0,0,0,3759,0,0
7,15,3759,0,0,0,0,0,0,0,3759,0,0
7,16,3759,0,0,0,0,0,0,0,3759,0,0
7,17,4159,0,574,0,0,0,0,0,4159,0,0
7,18,4159,10,4736,0,1,0,1,0,4158,1,0
7,19,4760,0,0,0,0,0,0,0,4760,0,0
7,20,3759,0,0,0,0,0,0,0,3759,0,0
7,21,3759,0,224754,0,0,0,0,0,3759,0,0
7,26,1531,26698,24858,1438,585,60,65,60,1466,5,0
7,37,2956,37196,37250,66,67,66,67,66,2889,1,0
8,2,4640,0,0,0,0,0,0,0,4640,0,0
8,3,4640,0,0,0,0,0,0,0,4640,0,0
8,4,4640,0,0,0,0,0,0,0,4640,0,0
8,5,4640,0,0,0,0,0,0,0,4640,0,0
8,13,4206,0,0,0,0,0,0,0,4206,0,0
8,14,4206,0,0,0,0,0,0,0,4206,0,0
8,15,4206,0,0,0,0,0,0,0,4206,0,0
8,16,4206,0,0,0,0,0,0,0,4206,0,0
8,17,4630,0,0,0,0,0,0,0,4630,0,0
8,18,4630,14,894,0,0,0,0,0,4630,0,0
8,19,12516,1114,2228,13,35,13,20,13,12496,7,0
8,20,4206,0,0,0,0,0,0,0,4206,0,0
8,21,4206,0,251538,0,0,0,0,0,4206,0,0
8,26,9644,53770,53474,1339,1827,441,443,441,9201,2,0
8,37,2890,1866,2030,50,50,1,1,1,2889,0,0
9,2,4640,0,0,0,0,0,0,0,4640,0,0
9,3,4640,0,0,0,0,0,0,0,4640,0,0
9,4,4640,0,0,0,0,0,0,0,4640,0,0
9,5,4640,0,0,0,0,0,0,0,4640,0,0
9,13,4206,0,0,0,0,0,0,0,4206,0,0
9,14,4206,0,0,0,0,0,0,0,4206,0,0
9,15,4206,0,0,0,0,0,0,0,4206,0,0
9,16,4206,0,0,0,0,0,0,0,4206,0,0
