model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
1,2,4640,0,0,4640,27840,4640,27840,0,0,9280,46400,9280,0,0,0,0,0,0
1,3,4640,0,0,4640,37120,4640,37120,0,0,0,37120,0,0,0,0,0,0,0
1,4,4640,0,0,4640,23200,4640,23200,0,0,13920,51040,13920,0,0,0,0,0,0
1,5,4640,0,0,4640,13920,4640,13920,0,0,23200,60320,23200,0,0,0,0,0,0
1,14,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
1,15,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
1,16,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
1,17,4640,0,0,4640,37120,4640,37120,0,0,0,37120,0,0,0,0,0,0,0
1,18,4640,0,120,4640,32474,4640,32594,0,13,4639,43360,4639,0,0,0,0,1,0
1,19,28517,102752,75336,28517,213653,131269,288989,3496,5661,56,2017355,56,0,0,46,0,460,0
1,20,4206,0,0,4206,33648,4206,33648,0,0,0,37854,0,0,0,0,0,0,0
3,17,4206,0,0,4206,269184,4206,269184,0,0,0,269184,0,0,0,0,0,0,0
4,17,4206,0,0,4206,168240,4206,168240,0,0,100944,370128,100944,0,0,0,0,0,0
5,17,4206,0,0,4206,100944,4206,100944,0,0,168240,437424,168240,0,0,0,0,0,0
6,2,4640,0,0,4640,27840,4640,27840,0,0,9280,46400,9280,0,0,0,0,0,0
6,3,4640,0,0,4640,37120,4640,37120,0,0,0,37120,0,0,0,0,0,0,0
6,4,4640,0,0,4640,23200,4640,23200,0,0,13920,51040,13920,0,0,0,0,0,0
6,5,4640,0,0,4640,13920,4640,13920,0,0,23200,60320,23200,0,0,0,0,0,0
6,13,4206,18108,18732,4206,33531,22314,52263,0,4349,74,1004173,74,0,0,0,0,21,0
6,14,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
6,15,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
6,16,4206,0,0,4206,33648,4206,33648,0,0,0,33648,0,0,0,0,0,0,0
6,17,4633,0,0,4633,37064,4633,37064,0,0,0,37064,0,0,0,0,0,0,0
6,18,4633,624,187652,4633,28615,5257,216267,0,72898,3997,7700973,3997,0,0,0,0,636,0
6,19,13038,1138,5808,13038,104171,14176,109979,46,1979,0,483616,0,0,0,0,0,1,0
6,20,4206,0,0,4206,33648,4206,33648,0,0,0,37854,0,0,0,0,0,0,0
7,2,4169,0,0,4169,25014,4169,25014,0,0,8338,41690,8338,0,0,0,0,0,0
7,3,4169,0,0,4169,33352,4169,33352,0,0,0,33352,0,0,0,0,0,0,0
7,4,4169,0,0,4169,20845,4169,20845,0,0,12507,45859,12507,0,0,0,0,0,0
7,5,4169,0,0,4169,12507,4169,12507,0,0,20845,54197,20845,0,0,0,0,0,0
7,13,3759,0,0,3759,30072,3759,30072,0,0,0,30072,0,0,0,0,0,0,0
7,14,3759,0,0,3759,30072,3759,30072,0,0,0,30072,0,0,0,0,0,0,0
7,15,3759,0,0,3759,30072,3759,30072,0,0,0,30072,0,0,0,0,0,0,0
7,16,3759,0,0,3759,30072,3759,30072,0,0,0,30072,0,0,0,0,0,0,0
7,17,4159,0,0,4159,33272,4159,33272,0,0,0,33272,0,0,0,0,0,0,0
7,18,4159,8,17688,4159,26917,4167,44605,0,386,3793,278117,3793,0,0,0,0,366,0
7,19,4760,0,0,4760,38080,4760,38080,0,0,0,38080,0,0,0,0,0,0,0
7,20,3759,0,0,3759,30072,3759,30072,0,0,0,33831,0,0,0,0,0,0,0
8,2,4640,0,0,4640,27840,4640,27840,0,0,9280,46400,9280,0,0,0,0,0,0
8,3,4640,0,0,4640,37120,4640,37120,0,0,0,37120,0,0,0,0,0,0,0
8,4,4640,0,0,4640,23200,4640,23200,0,0,13920,51040,13920,0,0,0,0,0,0
8,5,4640,0,0,4640,13920,4640,13920,0,0,23200,60320,23200,0,0,0,0,0,0
