model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
1,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32484,32480,0,0,0,0
1,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
1,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33262,32480,0,0,0,0
1,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33121,32480,0,0,0,0
1,14,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,30158,29442,0,0,0,0
1,15,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29905,29442,0,0,0,0
1,16,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,30443,29442,0,0,0,0
1,17,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33576,32480,0,0,0,0
1,18,4640,0,88,4640,4947,4640,5035,0,13,32198,6414,0,37901,32198,0,0,1,0
1,19,28517,102752,64316,28517,30438,131269,94754,3496,5661,194291,1669910,0,1158300,194291,46,0,460,0
1,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
3,17,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,270466,264978,0,0,0,0
4,17,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
5,17,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
6,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
6,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32483,32480,0,0,0,0
6,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,34116,32480,0,0,0,0
6,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33712,32480,0,0,0,0
6,13,4206,18108,14160,4206,12792,22314,26952,0,4349,25385,885344,0,334026,25385,0,0,21,0
6,14,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,34299,29442,0,0,0,0
6,15,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,30635,29442,0,0,0,0
6,16,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,30530,29442,0,0,0,0
6,17,4633,0,0,4633,4633,4633,4633,0,0,32431,4633,0,32734,32431,0,0,0,0
6,18,4633,624,174258,4633,6266,5257,180524,0,72898,39740,7468632,0,1025468,39740,0,0,636,0
6,19,13038,1138,5167,13038,13066,14176,18233,46,1979,91746,367404,0,255778,91746,0,0,1,0
6,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29476,29442,0,0,0,0
7,2,4169,0,0,4169,4169,4169,4169,0,0,29183,4169,0,29189,29183,0,0,0,0
7,3,4169,0,0,4169,4169,4169,4169,0,0,29183,4169,0,29188,29183,0,0,0,0
7,4,4169,0,0,4169,4169,4169,4169,0,0,29183,4169,0,29428,29183,0,0,0,0
7,5,4169,0,0,4169,4169,4169,4169,0,0,29183,4169,0,29272,29183,0,0,0,0
7,13,3759,0,0,3759,3759,3759,3759,0,0,26313,3759,0,26313,26313,0,0,0,0
7,14,3759,0,0,3759,3759,3759,3759,0,0,26313,3759,0,26667,26313,0,0,0,0
7,15,3759,0,0,3759,3759,3759,3759,0,0,26313,3759,0,26517,26313,0,0,0,0
7,16,3759,0,0,3759,3759,3759,3759,0,0,26313,3759,0,26498,26313,0,0,0,0
7,17,4159,0,0,4159,4159,4159,4159,0,0,29113,4159,0,34311,29113,0,0,0,0
7,18,4159,8,12685,4159,5830,4167,18515,0,386,29883,224174,0,166357,29883,0,0,366,0
7,19,4760,0,0,4760,4760,4760,4760,0,0,33320,4760,0,50160,33320,0,0,0,0
7,20,3759,0,0,3759,3759,3759,3759,0,0,26313,3759,0,26313,26313,0,0,0,0
8,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
8,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32499,32480,0,0,0,0
8,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,34068,32480,0,0,0,0
8,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33304,32480,0,0,0,0
8,13,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,57249,29442,0,0,0,0
8,14,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29463,29442,0,0,0,0
8,15,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29616,29442,0,0,0,0
8,16,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29532,29442,0,0,0,0
8,17,4630,0,0,4630,4630,4630,4630,0,0,32410,4630,0,35590,32410,0,0,0,0
8,18,4630,8,3191,4630,5174,4638,8365,0,485,33396,59399,0,82879,33396,0,0,5,0
8,19,12516,932,361,12516,12547,13448,12908,15,14,87677,16937,0,122330,87677,2,0,1,0
8,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
9,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32480,32480,0,0,0,0
9,3,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32487,32480,0,0,0,0
9,4,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,33466,32480,0,0,0,0
9,5,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32979,32480,0,0,0,0
9,13,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,48845,29442,0,0,0,0
9,14,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
9,15,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29513,29442,0,0,0,0
9,16,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29483,29442,0,0,0,0
9,17,4625,0,0,4625,4625,4625,4625,0,0,32375,4625,0,36250,32375,0,0,0,0
9,18,4625,0,403,4625,5126,4625,5529,0,1,32250,6471,0,50072,32250,0,0,1,0
9,19,12497,0,0,12497,12497,12497,12497,0,0,87479,12497,0,116842,87479,0,0,0,0
9,20,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29456,29442,0,0,0,0
10,2,4640,0,0,4640,4640,4640,4640,0,0,32480,4640,0,32482,32480,0,0,0,0
