model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
1,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
1,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
1,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
1,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
1,14,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
1,15,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
1,16,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
1,17,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
1,18,4640,0,120,4640,37113,4640,37233,0,13,0,0,0,0,0,0,0,1,0
1,19,28517,102752,75392,28517,213653,131269,289045,3496,5661,0,0,0,0,0,46,0,460,0
1,20,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
3,17,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
4,17,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
5,17,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
6,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
6,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
6,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
6,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
6,13,4206,18108,18806,4206,33531,22314,52337,0,4349,0,0,0,0,0,0,0,21,0
6,14,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
6,15,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
6,16,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
6,17,4633,0,0,4633,37064,4633,37064,0,0,0,0,0,0,0,0,0,0,0
6,18,4633,624,187652,4633,32612,5257,220264,0,72898,0,0,0,0,0,0,0,636,0
6,19,13038,1138,5808,13038,104171,14176,109979,46,1979,0,0,0,0,0,0,0,1,0
6,20,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
7,2,4169,0,0,4169,33352,4169,33352,0,0,0,0,0,0,0,0,0,0,0
7,3,4169,0,0,4169,33352,4169,33352,0,0,0,0,0,0,0,0,0,0,0
7,4,4169,0,0,4169,33352,4169,33352,0,0,0,0,0,0,0,0,0,0,0
7,5,4169,0,0,4169,33352,4169,33352,0,0,0,0,0,0,0,0,0,0,0
7,13,3759,0,0,3759,30072,3759,30072,0,0,0,0,0,0,0,0,0,0,0
7,14,3759,0,0,3759,30072,3759,30072,0,0,0,0,0,0,0,0,0,0,0
7,15,3759,0,0,3759,30072,3759,30072,0,0,0,0,0,0,0,0,0,0,0
7,16,3759,0,0,3759,30072,3759,30072,0,0,0,0,0,0,0,0,0,0,0
7,17,4159,0,0,4159,33272,4159,33272,0,0,0,0,0,0,0,0,0,0,0
7,18,4159,8,17688,4159,30710,4167,48398,0,386,0,0,0,0,0,0,0,366,0
7,19,4760,0,0,4760,38080,4760,38080,0,0,0,0,0,0,0,0,0,0,0
7,20,3759,0,0,3759,30072,3759,30072,0,0,0,0,0,0,0,0,0,0,0
8,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
8,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
8,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
8,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
