model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
1,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
1,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
1,4,4640,0,0,4640,4657,4640,4657,0,0,32463,0,0,32480,32463,0,0,0,0
1,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
1,14,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
1,15,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
1,16,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
1,17,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
1,18,4640,0,104,4640,4962,4640,5066,0,13,32167,0,0,33417,32167,0,0,1,0
1,19,28517,102752,65825,28517,48027,131269,113852,3496,5661,175193,0,0,420177,175193,46,0,460,0
1,20,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
3,17,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
4,17,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
5,17,4206,0,0,4206,4206,4206,4206,0,0,264978,0,0,264978,264978,0,0,0,0
6,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
6,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
6,4,4640,0,0,4640,4661,4640,4661,0,0,32459,0,0,32480,32459,0,0,0,0
6,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
6,13,4206,18108,15517,4206,13375,22314,28892,0,4349,23445,0,0,93374,23445,0,0,21,0
6,14,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
6,15,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
6,16,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
6,17,4633,0,0,4633,4633,4633,4633,0,0,32431,0,0,32431,32431,0,0,0,0
6,18,4633,624,177229,4633,6968,5257,184197,0,72898,36067,0,0,455131,36067,0,0,636,0
6,19,13038,1138,5609,13038,25969,14176,31578,46,1979,78401,0,0,140979,78401,0,0,1,0
6,20,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
7,2,4169,0,0,4169,4169,4169,4169,0,0,29183,0,0,29183,29183,0,0,0,0
7,3,4169,0,0,4169,4169,4169,4169,0,0,29183,0,0,29183,29183,0,0,0,0
7,4,4169,0,0,4169,4172,4169,4172,0,0,29180,0,0,29183,29180,0,0,0,0
7,5,4169,0,0,4169,4169,4169,4169,0,0,29183,0,0,29183,29183,0,0,0,0
7,13,3759,0,0,3759,3759,3759,3759,0,0,26313,0,0,26313,26313,0,0,0,0
7,14,3759,0,0,3759,3759,3759,3759,0,0,26313,0,0,26313,26313,0,0,0,0
7,15,3759,0,0,3759,3759,3759,3759,0,0,26313,0,0,26313,26313,0,0,0,0
7,16,3759,0,0,3759,3759,3759,3759,0,0,26313,0,0,26313,26313,0,0,0,0
7,17,4159,0,0,4159,4159,4159,4159,0,0,29113,0,0,29113,29113,0,0,0,0
7,18,4159,8,14281,4159,6223,4167,20504,0,386,27894,0,0,72634,27894,0,0,366,0
7,19,4760,0,0,4760,9607,4760,9607,0,0,28473,0,0,41568,28473,0,0,0,0
7,20,3759,0,0,3759,3759,3759,3759,0,0,26313,0,0,26313,26313,0,0,0,0
8,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
8,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
8,4,4640,0,0,4640,4643,4640,4643,0,0,32477,0,0,32480,32477,0,0,0,0
8,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
8,13,4206,0,0,4206,8205,4206,8205,0,0,25443,0,0,35263,25443,0,0,0,0
8,14,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
8,15,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
8,16,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
8,17,4630,0,0,4630,4630,4630,4630,0,0,32410,0,0,32410,32410,0,0,0,0
8,18,4630,8,3749,4630,5178,4638,8927,0,485,32834,0,0,48632,32834,0,0,5,0
8,19,12516,932,388,12516,22129,13448,22517,15,14,78068,0,0,101255,78068,2,0,1,0
8,20,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
9,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
9,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
9,4,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
9,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
9,13,4206,0,0,4206,5251,4206,5251,0,0,28397,0,0,30225,28397,0,0,0,0
9,14,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
9,15,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
9,16,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
9,17,4625,0,0,4625,4625,4625,4625,0,0,32375,0,0,32375,32375,0,0,0,0
9,18,4625,0,557,4625,5137,4625,5694,0,1,32085,0,0,36365,32085,0,0,1,0
9,19,12497,0,0,12497,22745,12497,22745,0,0,77231,0,0,99142,77231,0,0,0,0
9,20,4206,0,0,4206,4206,4206,4206,0,0,29442,0,0,29442,29442,0,0,0,0
10,2,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
10,3,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
10,4,4640,0,0,4640,4643,4640,4643,0,0,32477,0,0,32480,32477,0,0,0,0
10,5,4640,0,0,4640,4640,4640,4640,0,0,32480,0,0,32480,32480,0,0,0,0
