model_id,official_primitives,candidate_primitives,official_triangles,candidate_triangles,official_bvs,candidate_bvs,official_max_depth,candidate_max_depth
1,1,1,140,140,279,279,10,11
2,1,8,2400,112,4799,216,16,8
3,1,8,9376,96,18751,184,19,7
4,1,8,6032,180,12063,352,17,12
5,1,8,5796,112,11591,216,17,8
6,1,1,1050,1050,2099,2099,15,16
7,1,1,140,140,279,279,13,11
8,1,1,12,12,23,23,7,7
9,1,1,12,12,23,23,7,7
10,1,1,200,200,399,399,12,12
11,1,1,288,288,575,575,11,11
12,1,8,9334,280,18667,552,18,11
13,1,8,4724,200,9447,392,17,10
14,1,8,14792,306,29583,604,19,10
15,1,8,3796,112,7591,216,16,7
16,1,8,7964,120,15927,232,18,7
17,1,8,7248,96,14495,184,18,7
18,1,8,7276,96,14551,184,17,7
19,1,8,3330,176,6659,344,16,9
20,1,8,6316,412,12631,816,18,13
21,1,1,512,128,1023,255,12,8
22,1,1,4,4,7,7,4,4
23,1,1,1,1,1,1,1,1
24,1,1,2304,2304,4607,4607,19,18
26,1,1,2304,2304,4607,4607,19,18
27,1,1,978,978,1955,1955,13,13
28,1,1,512,128,1023,255,12,8
29,1,1,4,4,7,7,4,4
30,1,1,1,1,1,1,1,1
31,1,1,4,4,7,7,4,4
32,1,1,1,1,1,1,1,1
33,1,1,978,978,1955,1955,13,13
34,1,1,1,1,1,1,1,1
35,1,1,978,978,1955,1955,13,13
36,1,1,1,1,1,1,1,1
37,1,1,2304,2304,4607,4607,19,18
