model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,140,140,140,0,0,279,279,140,140,139,139,10,10,30393,30123.2,549453,549080,103339,103339,446114,445741
2,base,62888,1583,62888,1583,0,0,125775,3165,62888,1583,62887,1582,59,17,1.28276e+07,1.28292e+07,5.38418e+08,2.65961e+08,8.40674e+07,6.22485e+07,4.54351e+08,2.03713e+08
3,base,16976,1210,16976,1210,0,0,33951,2419,16976,1210,16975,1209,23,17,1.12576e+06,1.1252e+06,2.93264e+07,2.06617e+07,4.23103e+06,5.1784e+06,2.50953e+07,1.54833e+07
4,base,65624,2119,65624,2119,0,0,131247,4237,65624,2119,65623,2118,27,20,1.71203e+07,1.76561e+07,5.49196e+08,3.10703e+08,7.84725e+07,8.36207e+07,4.70724e+08,2.27083e+08
5,base,73136,1438,73136,1438,0,0,146271,2875,73136,1438,73135,1437,28,20,8.4866e+06,8.45384e+06,2.87413e+08,1.75516e+08,4.12027e+07,4.83567e+07,2.4621e+08,1.27159e+08
6,base,1050,1050,1050,1050,0,0,2099,2099,1050,1050,1049,1049,15,15,107009,107009,1.45685e+06,1.45665e+06,203371,203371,1.25348e+06,1.25328e+06
7,base,140,140,140,140,0,0,279,279,140,140,139,139,13,13,97.0945,97.0945,3237.32,3237.32,381.114,381.114,2856.21,2856.21
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37621.3,370973,370973,122161,122161,248812,248812
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5092.79,46844.1,46557.2,14250,14250,32594.1,32307.2
10,base,200,200,200,200,0,0,399,399,200,200,199,199,12,12,11181.3,11181.3,131034,131015,22546.7,22546.7,108487,108468
11,base,288,288,288,288,0,0,575,575,288,288,287,287,11,11,4643.98,4643.98,57345.8,57361,8078.37,8078.37,49267.4,49282.6
12,base,11402,10702,11402,10702,0,0,22803,21403,11402,10702,11401,10701,23,21,71642.7,71037.2,1.92251e+06,1.92105e+06,203422,206550,1.71909e+06,1.7145e+06
13,base,45805,43217,45805,43217,0,0,91609,86433,45805,43217,45804,43216,24,25,355449,355585,1.16183e+07,1.35835e+07,1.26363e+06,1.36968e+06,1.03547e+07,1.22138e+07
14,base,50084,36753,50084,36753,0,0,100167,73505,50084,36753,50083,36752,30,26,294750,294831,1.29673e+07,1.3817e+07,1.28407e+06,1.43288e+06,1.16832e+07,1.23841e+07
15,base,25558,23385,25558,23385,0,0,51115,46769,25558,23385,25557,23384,27,24,382530,381329,1.19533e+07,1.29434e+07,1.29086e+06,1.3246e+06,1.06624e+07,1.16188e+07
16,base,164597,132060,164597,132060,0,0,329193,264119,164597,132060,164596,132059,31,32,546711,556407,2.71925e+07,2.96223e+07,2.36627e+06,2.60611e+06,2.48263e+07,2.70161e+07
17,base,24940,3188,24940,3188,0,0,49879,6375,24940,3188,24939,3187,27,20,8.61062e+06,8.98948e+06,2.23783e+08,2.27671e+08,3.55625e+07,4.90811e+07,1.88221e+08,1.7859e+08
18,base,46080,28878,46080,28878,0,0,92159,57755,46080,28878,46079,28877,26,26,5.94981e+06,5.97277e+06,1.8592e+08,1.64534e+08,2.86311e+07,2.97411e+07,1.57289e+08,1.34793e+08
19,base,26488,27039,26488,27039,0,0,52975,54077,26488,27039,26487,27038,26,24,2.60229e+06,2.60238e+06,7.64053e+07,7.62129e+07,1.01145e+07,1.01269e+07,6.62908e+07,6.60861e+07
20,base,11763,8421,11763,8421,0,0,23525,16841,11763,8421,11762,8420,21,20,443646,443348,1.31137e+07,1.37778e+07,1.38402e+06,1.40531e+06,1.17297e+07,1.23725e+07
21,base,2,2,2048,2048,682,682,4095,4095,2048,2048,2047,2047,14,14,1.31326e+12,1.31326e+12,1.38176e+13,1.38176e+13,2e+12,2e+12,1.18176e+13,1.18176e+13
22,base,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
23,base,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
24,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,633284,1.38842e+07,1.38778e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.19187e+07
26,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,633284,1.38842e+07,1.38778e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.19187e+07
27,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.8,62839.7,2.16312e+06,2.16226e+06,249368,249368,1.91376e+06,1.91289e+06
28,workpiece,2,2,2048,2048,682,682,4095,4095,2048,2048,2047,2047,14,14,1.31326e+12,1.31326e+12,1.38176e+13,1.38176e+13,2e+12,2e+12,1.18176e+13,1.18176e+13
29,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
30,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
31,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,84392.4,84392.4,417640,417640,164717,164717,252922,252922
32,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
33,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.2,62839.4,2.16336e+06,2.1639e+06,249360,249360,1.914e+06,1.91454e+06
34,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
35,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62842.2,62842.6,2.16374e+06,2.16403e+06,249359,249359,1.91438e+06,1.91467e+06
36,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
37,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,633284,1.38842e+07,1.38778e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.19187e+07
