model_id,analyzed,source_triangles,primitive_leaves,primitive_nodes,primitive_max_depth,official_input_triangles,official_built_triangles,official_nodes,official_max_depth,spheres,capsules,rss,containment_certified
1,0,140,140,279,9,140,140,279,10,0,0,140,1
2,1,62888,107,213,10,2400,2400,4799,16,0,2,105,1
3,1,16976,47,93,8,9376,9376,18751,19,0,13,34,1
4,1,65624,31,61,7,6032,6032,12063,17,0,4,27,1
5,1,73136,29,57,8,5796,5796,11591,17,0,6,23,1
6,0,1050,1050,2099,14,1050,1050,2099,15,0,0,1050,1
7,0,140,140,279,12,140,140,279,13,0,0,140,1
8,0,12,12,23,6,12,12,23,7,0,0,12,1
9,0,12,12,23,6,12,12,23,7,0,0,12,1
10,0,200,200,399,11,200,200,399,12,0,0,200,1
11,0,288,288,575,10,288,288,575,11,0,0,288,1
12,1,11402,49,97,7,9334,9334,18667,18,1,6,42,1
13,1,45805,170,339,11,4724,4724,9447,17,97,12,61,1
14,1,50084,750,1499,16,14792,14792,29583,19,667,40,43,1
15,1,25558,239,477,12,3796,3796,7591,16,193,4,42,1
16,1,164597,1237,2473,18,7964,7964,15927,18,1185,3,49,1
17,1,24940,75,149,10,7248,7248,14495,18,0,3,72,1
18,1,46080,41,81,9,7276,7276,14551,17,0,4,37,1
19,1,26488,132,263,10,3330,3330,6659,16,0,109,23,1
20,1,11763,233,465,11,6316,6316,12631,18,202,0,31,1
21,0,2,2048,4095,13,2,512,1023,12,0,0,2048,1
22,0,4,4,7,3,4,4,7,4,0,0,4,1
23,0,1,1,1,0,1,1,1,1,0,0,1,1
24,0,2304,2304,4607,18,2304,2304,4607,19,0,0,2304,1
26,0,2304,2304,4607,18,2304,2304,4607,19,0,0,2304,1
27,0,978,978,1955,12,978,978,1955,13,0,0,978,1
28,0,2,2048,4095,13,2,512,1023,12,0,0,2048,1
29,0,4,4,7,3,4,4,7,4,0,0,4,1
30,0,1,1,1,0,1,1,1,1,0,0,1,1
31,0,4,4,7,3,4,4,7,4,0,0,4,1
32,0,1,1,1,0,1,1,1,1,0,0,1,1
33,0,978,978,1955,12,978,978,1955,13,0,0,978,1
34,0,1,1,1,0,1,1,1,1,0,0,1,1
35,0,978,978,1955,12,978,978,1955,13,0,0,978,1
36,0,1,1,1,0,1,1,1,1,0,0,1,1
37,0,2304,2304,4607,18,2304,2304,4607,19,0,0,2304,1
