model_id,category,original_triangles,proxy_input_triangles,original_built_triangles,proxy_built_triangles,original_subdivisions,proxy_subdivisions,original_bv_count,proxy_bv_count,original_leaf_count,proxy_leaf_count,original_internal_count,proxy_internal_count,original_max_depth,proxy_max_depth,original_root_size,proxy_root_size,original_total_size,proxy_total_size,original_leaf_size_sum,proxy_leaf_size_sum,original_internal_size_sum,proxy_internal_size_sum
1,base,140,140,140,140,0,0,279,279,140,140,139,139,10,10,30393,30393,549453,549453,103339,103339,446114,446114
2,base,62888,12,62888,12,0,0,125775,23,62888,12,62887,11,59,7,1.28276e+07,1.3697e+07,5.38418e+08,1.40649e+08,8.40674e+07,4.8332e+07,4.54351e+08,9.23171e+07
3,base,16976,70,16976,70,0,0,33951,139,16976,70,16975,69,23,12,1.12576e+06,1.14663e+06,2.93264e+07,2.03488e+07,4.23103e+06,4.36874e+06,2.50953e+07,1.598e+07
4,base,65624,22,65624,22,0,0,131247,43,65624,22,65623,21,27,8,1.71203e+07,1.75185e+07,5.49196e+08,1.22542e+08,7.84725e+07,3.71409e+07,4.70724e+08,8.54009e+07
5,base,73136,26,73136,26,0,0,146271,51,73136,26,73135,25,28,10,8.4866e+06,8.69217e+06,2.87413e+08,7.05721e+07,4.12027e+07,2.13685e+07,2.4621e+08,4.92035e+07
6,base,1050,1050,1050,1050,0,0,2099,2099,1050,1050,1049,1049,15,15,107009,107009,1.45685e+06,1.45685e+06,203371,203371,1.25348e+06,1.25348e+06
7,base,140,140,140,140,0,0,279,279,140,140,139,139,13,13,97.0945,97.0945,3237.32,3237.32,381.114,381.114,2856.21,2856.21
8,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,37621.3,37621.3,370973,370973,122161,122161,248812,248812
9,base,12,12,12,12,0,0,23,23,12,12,11,11,7,7,5379.71,5379.71,46844.1,46844.1,14250,14250,32594.1,32594.1
10,base,200,200,200,200,0,0,399,399,200,200,199,199,12,12,11181.3,11181.3,131034,131034,22546.7,22546.7,108487,108487
11,base,288,288,288,288,0,0,575,575,288,288,287,287,11,11,4643.98,4643.98,57345.8,57345.8,8078.37,8078.37,49267.4,49267.4
12,base,11402,93,11402,93,0,0,22803,185,11402,93,11401,92,23,12,71642.7,77053.8,1.92251e+06,1.92705e+06,203422,461782,1.71909e+06,1.46527e+06
13,base,45805,100,45805,100,0,0,91609,199,45805,100,45804,99,24,13,355449,416746,1.16183e+07,7.07782e+06,1.26363e+06,1.80371e+06,1.03547e+07,5.27411e+06
14,base,50084,332,50084,332,0,0,100167,663,50084,332,50083,331,30,14,294750,408303,1.29673e+07,1.7953e+07,1.28407e+06,3.30455e+06,1.16832e+07,1.46484e+07
15,base,25558,56,25558,56,0,0,51115,111,25558,56,25557,55,27,9,382530,495060,1.19533e+07,7.55985e+06,1.29086e+06,2.0474e+06,1.06624e+07,5.51245e+06
16,base,164597,7964,164597,7964,0,0,329193,15927,164597,7964,164596,7963,31,18,546711,550236,2.71925e+07,2.0415e+07,2.36627e+06,1.96179e+06,2.48263e+07,1.84532e+07
17,base,24940,84,24940,84,0,0,49879,167,24940,84,24939,83,27,11,8.61062e+06,9.09301e+06,2.23783e+08,1.2156e+08,3.55625e+07,3.26631e+07,1.88221e+08,8.88965e+07
18,base,46080,7276,46080,7276,0,0,92159,14551,46080,7276,46079,7275,26,17,5.94981e+06,5.98024e+06,1.8592e+08,1.70394e+08,2.86311e+07,1.99144e+07,1.57289e+08,1.5048e+08
19,base,26488,96,26488,96,0,0,52975,191,26488,96,26487,95,26,9,2.60229e+06,3.31637e+06,7.64053e+07,4.39464e+07,1.01145e+07,9.23238e+06,6.62908e+07,3.47141e+07
20,base,11763,6316,11763,6316,0,0,23525,12631,11763,6316,11762,6315,21,18,443646,444212,1.31137e+07,1.3151e+07,1.38402e+06,1.28748e+06,1.17297e+07,1.18635e+07
21,base,2,2,2048,512,682,170,4095,1023,2048,512,2047,511,14,12,1.31326e+12,1.31326e+12,1.38176e+13,1.23556e+13,2e+12,2e+12,1.18176e+13,1.03556e+13
22,base,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
23,base,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
24,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
26,workpiece,2304,2304,2304,2304,0,0,4607,4607,2304,2304,2303,2303,19,19,619755,619755,1.38842e+07,1.38842e+07,1.95919e+06,1.95919e+06,1.1925e+07,1.1925e+07
27,workpiece,978,978,978,978,0,0,1955,1955,978,978,977,977,13,13,62839.8,62839.8,2.16312e+06,2.16312e+06,249368,249368,1.91376e+06,1.91376e+06
28,workpiece,2,2,2048,512,682,170,4095,1023,2048,512,2047,511,14,12,1.31326e+12,1.31326e+12,1.38176e+13,1.23556e+13,2e+12,2e+12,1.18176e+13,1.03556e+13
29,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,104747,104747,523470,523470,209208,209208,314263,314263
30,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
31,workpiece,4,4,4,4,0,0,7,7,4,4,3,3,4,4,84392.4,84392.4,417640,417640,164717,164717,252922,252922
32,workpiece,1,1,1,1,0,0,1,1,1,1,0,0,1,1,586.489,586.489,586.489,586.489,586.489,586.489,0,0
